business_id,business_type,locality,business_age_years,monthly_avg_revenue,monthly_expense_ratio,cash_flow_consistency_score,inventory_turnover_monthly,seasonal_dip_percent,utility_bill_delays_per_year,mobile_recharge_freq_monthly,num_employees,has_gst,loan_amount_requested,previous_loan_taken,previous_loan_defaulted,monthly_net_income,loan_to_income_ratio,defaulted
BIZ0001,Dairy Shop,Urban,2.9,116489,0.75,31.0,7.1,45.5,8,3,8,0,411564,1,1,29122,1.18,1
BIZ0002,Tailor,Urban,9.3,46819,0.78,72.1,8.8,37.6,1,3,11,1,366574,0,0,10300,2.97,0
BIZ0003,Bakery,Semi-Urban,8.8,62779,0.74,69.4,5.6,49.1,5,2,6,0,51965,1,0,16322,0.27,0
BIZ0004,Electrical Shop,Urban,6.8,228493,0.48,39.4,9.3,27.3,10,7,2,1,186630,0,0,118816,0.13,0
BIZ0005,Dairy Shop,Urban,2.9,80584,0.78,40.6,5.3,48.0,2,7,5,0,84807,1,1,17728,0.4,1
BIZ0006,Stationery Shop,Rural,5.3,161245,0.49,85.5,10.1,38.9,9,5,11,0,278383,1,0,82234,0.28,0
BIZ0007,Vegetable Vendor,Semi-Urban,2.9,263815,0.8,92.1,3.9,0.2,3,7,13,0,339664,1,0,52762,0.54,0
BIZ0008,Dairy Shop,Urban,8.1,269957,0.61,49.8,4.1,15.2,1,5,6,0,462161,0,0,105283,0.37,0
BIZ0009,Bakery,Rural,2.1,86356,0.7,60.7,6.7,29.6,10,2,9,0,499442,1,1,25906,1.61,1
BIZ0010,Electrical Shop,Semi-Urban,14.1,160364,0.62,54.8,5.7,37.1,7,7,6,0,213096,0,0,60938,0.29,0
BIZ0011,Tailor,Urban,10.8,18052,0.44,35.1,8.1,3.9,9,5,10,0,155030,0,0,10109,1.28,0
BIZ0012,Bakery,Semi-Urban,5.4,213910,0.53,77.1,5.0,42.3,7,3,5,0,123983,0,0,100537,0.1,0
BIZ0013,Bakery,Semi-Urban,1.3,161692,0.84,87.8,3.5,32.6,0,1,1,0,147194,0,0,25870,0.47,0
BIZ0014,Vegetable Vendor,Urban,0.6,45461,0.83,51.3,6.2,31.5,9,7,10,0,107667,0,0,7728,1.16,1
